Frequency,Impedance,ESR
100,1591313,2886.394
104.7129,1519692,2755.397
109.6478,1451295,2630.52
114.8153,1385976,2511.135
120.2264,1323597,2397.327
125.8925,1264025,2288.676
131.8256,1207135,2184.949
138.0385,1152804,2085.922
144.544,1100920,1991.516
151.3562,1051370,1901.381
158.4893,1004051,1815.326
165.9587,958861.1,1733.166
173.7801,915705.2,1654.833
181.9701,874491.7,1579.937
190.5461,835133.1,1508.529
199.5262,797546,1440.349
208.9296,761650.6,1375.25
218.7761,727370.7,1313.094
229.0867,694633.6,1253.746
239.8834,663369.5,1197.08
251.1887,633513.1,1143.052
263.0269,605000.3,1091.462
275.4229,577770.8,1042.132
288.4032,551766.9,995.0966
301.9952,526933.3,950.1842
316.2278,503217.4,907.299
331.1311,480569,866.3492
346.7368,458939.7,827.2476
363.078,438284.2,789.9633
380.1893,418558.1,754.3093
398.1071,399719.9,720.2645
416.8693,381729.6,687.8019
436.5159,364548.8,656.7585
457.0883,348141.3,627.1578
478.6302,332472.4,598.8914
501.1873,317508.7,571.8612
524.8075,303218.4,546.0872
549.5409,289571.4,521.4747
575.4399,276538.6,497.9715
602.5596,264092.3,475.5276
630.9573,252206.2,454.0953
660.6934,240855.1,433.6577
691.8308,230014.8,414.1125
724.4358,219662.4,395.4482
758.5778,209775.9,377.6249
794.3284,200334.4,360.629
831.7639,191317.9,344.3753
870.9637,182707.2,328.8541
912.0109,174484,314.0323
954.9926,166631,299.8986
1000,159131.3,286.382
1047.129,151969.2,273.4926
1096.478,145129.5,261.1662
1148.153,138597.6,249.3952
1202.264,132359.7,238.1706
1258.925,126402.5,227.4361
1318.256,120713.5,217.1998
1380.385,115280.4,207.4104
1445.44,110092,198.0754
1513.562,105137,189.1606
1584.893,100405.1,180.6349
1659.587,95886.1,172.505
1737.801,91570.52,164.741
1819.701,87449.17,157.3265
1905.461,83513.31,150.2456
1995.262,79754.59,143.4739
2089.296,76165.06,137.0166
2187.761,72737.06,130.8498
2290.867,69463.36,124.9606
2398.833,66336.96,119.3285
2511.887,63351.32,113.9578
2630.269,60500.03,108.8289
2754.229,57777.08,103.9377
2884.032,55176.7,99.25314
3019.952,52693.33,94.786
3162.278,50321.75,90.51994
3311.311,48056.9,86.44588
3467.368,45893.98,82.55516
3630.78,43828.41,78.83435
3801.893,41855.81,75.29122
3981.071,39971.98,71.90255
4168.693,38172.95,68.6664
4365.159,36454.88,65.57588
4570.883,34814.14,62.62449
4786.302,33247.24,59.80988
5011.873,31750.87,57.11422
5248.075,30321.85,54.54366
5495.409,28957.14,52.08878
5754.399,27653.86,49.7477
6025.596,26409.23,47.50869
6309.573,25220.62,45.37045
6606.934,24085.5,43.32844
6918.308,23001.48,41.38109
7244.358,21966.24,39.51863
7585.778,20977.59,37.73998
7943.284,20033.44,36.0414
8317.64,19131.79,34.41928
8709.637,18270.72,32.87016
9120.109,17448.4,31.39283
9549.927,16663.09,29.97992
10000,15913.13,28.63251
10471.29,15196.93,27.34384
10964.78,14512.95,26.11489
11481.54,13859.76,24.93952
12022.64,13235.97,23.81864
12589.25,12640.25,22.74663
13182.56,12071.35,21.7243
13803.84,11528.05,20.74655
14454.39,11009.2,19.81411
15135.61,10513.71,18.92359
15848.92,10040.51,18.07308
16595.86,9588.615,17.25966
17378,9157.057,16.48394
18197.02,8744.912,15.74306
19054.62,8351.327,15.03451
19952.63,7975.456,14.3588
20892.97,7616.503,13.71255
21877.62,7273.704,13.09625
22908.68,6946.332,12.50765
23988.34,6633.696,11.94629
25118.87,6335.132,11.40938
26302.68,6050.003,10.89659
27542.29,5777.708,10.40685
28840.32,5517.669,9.939125
30199.52,5269.333,9.49305
31622.78,5032.175,9.066391
33113.11,4805.689,8.659482
34673.68,4589.398,8.270288
36307.8,4382.841,7.89911
38018.93,4185.582,7.544091
39810.71,3997.199,7.205504
41686.93,3817.296,6.882114
43651.57,3645.489,6.573236
45708.8,3481.415,6.278222
47862.99,3324.726,5.996448
50118.7,3175.089,5.727321
52480.72,3032.187,5.470634
54954.06,2895.716,5.225105
57544.02,2765.385,4.990921
60255.99,2640.921,4.766922
63095.76,2522.06,4.553277
66069.37,2408.549,4.349207
69183.13,2300.147,4.154284
72443.62,2196.623,3.968096
75857.78,2097.758,3.790502
79432.84,2003.344,3.620618
83176.39,1913.179,3.458576
87096.37,1827.072,3.303786
91201.09,1744.84,3.155923
95499.27,1666.309,3.014677
100000,1591.313,2.879943
104712.9,1519.692,2.751049
109647.8,1451.294,2.628096
114815.3,1385.975,2.510639
120226.4,1323.596,2.398588
125892.5,1264.025,2.291387
131825.6,1207.134,2.189121
138038.4,1152.804,2.091419
144543.9,1100.919,1.998208
151356.1,1051.37,1.909026
158489.3,1004.05,1.823943
165958.6,958.8605,1.742767
173780,915.7046,1.665093
181970.2,874.4902,1.591088
190546.2,835.1315,1.520274
199526.3,797.5444,1.452706
208929.7,761.6489,1.38814
218776.2,727.369,1.326531
229086.8,694.6319,1.267655
239883.4,663.3682,1.211471
251188.7,633.5116,1.157776
263026.8,604.9987,1.106533
275422.9,577.7692,1.057557
288403.2,551.7651,1.010814
301995.2,526.9314,0.9661361
316227.8,503.2155,0.9234924
331131.1,480.567,0.8827875
346736.8,458.9377,0.8438758
363078,438.2819,0.8067307
380189.3,418.5557,0.7712697
398107.1,399.7175,0.7374144
416869.3,381.7271,0.7050894
436515.7,364.5463,0.6741804
457088,348.1387,0.6446669
478629.9,332.4697,0.6165237
501187,317.5058,0.5896078
524807.2,303.2155,0.563902
549540.6,289.5683,0.5393849
575440.3,276.5349,0.5159315
602559.9,264.0885,0.4935602
630957.6,252.2022,0.4721875
660693.7,240.8509,0.4517964
691831.2,230.0104,0.4322841
724436.2,219.6579,0.4136915
758577.8,209.7713,0.3958969
794328.4,200.3296,0.3789375
831763.9,191.3128,0.3627256
870963.7,182.7019,0.347227
912010.9,174.4784,0.3324511
954992.6,166.6251,0.3183217
1000000,159.1252,0.3048475
1047129,151.9781,0.2919705
1096478,145.1518,0.2796698
1148154,138.6322,0.2679344
1202264,132.4053,0.2567048
1258925,126.4581,0.2460036
1318256,120.7779,0.2357745
1380384,115.3528,0.2260091
1445439,110.1713,0.2166714
1513561,105.2225,0.2077667
1584893,100.4959,0.1992605
1659586,95.98157,0.1911335
1737800,91.66991,0.1833781
1819702,87.55179,0.1759648
1905462,83.61864,0.1688873
1995263,79.86211,0.1621189
2089297,76.27423,0.1556631
2187763,72.84744,0.1495034
2290868,69.57452,0.143616
2398834,66.44849,0.1379951
2511887,63.46283,0.132627
2630269,60.61119,0.1275059
2754229,57.88754,0.1226045
2884032,55.28616,0.117932
3019952,52.80154,0.1134694
3162278,50.42842,0.1092054
3311311,48.16181,0.1051296
3467368,45.9969,0.1012431
3630780,43.92915,0.09752996
3801893,41.95415,0.09398062
3981071,40.06779,0.09059592
4168693,38.26603,0.08736165
4365157,36.54507,0.08427379
4570881,34.90131,0.08132398
4786299,33.33125,0.07850429
5011870,31.83158,0.07581493
5248072,30.39914,0.07324794
5495406,29.03089,0.07079246
5754403,27.72392,0.0684486
6025599,26.47555,0.06621274
6309576,25.28308,0.0640749
6606937,24.144,0.06203485
6918312,23.05592,0.06008625
7244362,22.01653,0.0582258
7585778,21.02363,0.05644769
7943284,20.07513,0.05474886
8317639,19.16903,0.05312855
8709637,18.30341,0.05158113
9120109,17.47645,0.05009941
9549926,16.68639,0.04868881
10000000,15.93157,0.04734003
10471290,15.2104,0.04605214
10964780,14.52135,0.04482218
11481540,13.86297,0.04364887
12022640,13.23386,0.04252754
12589250,12.6327,0.04145693
13182560,12.05822,0.04043414
13803840,11.5092,0.03945636
14454390,10.98449,0.03852476
15135610,10.48298,0.03763369
15848930,10.0036,0.03678168
16595860,9.545348,0.03596937
17378000,9.107254,0.03519369
18197020,8.688385,0.03445271
19054620,8.287873,0.03374554
19952630,7.90486,0.03306908
20892970,7.538542,0.03242406
21877620,7.188143,0.03180811
22908680,6.852923,0.03121889
23988340,6.532175,0.03065644
25118870,6.22522,0.0301204
26302680,5.93141,0.02960721
27542290,5.650126,0.02911828
28840320,5.380771,0.02865047
30199520,5.122779,0.02820382
31622780,4.875604,0.02777731
33113110,4.638723,0.02737018
34673680,4.411636,0.0269818
36307800,4.193866,0.02661011
38018930,3.984948,0.02625567
39810710,3.784445,0.02591699
41686930,3.591932,0.02559341
43651570,3.407001,0.0252845
45708800,3.229264,0.02498943
47862990,3.058343,0.02470811
50118700,2.89388,0.02443873
52480720,2.735524,0.02418197
54954060,2.582943,0.02393681
57544020,2.43581,0.02370235
60255990,2.293821,0.02347878
63095760,2.156673,0.02326526
66069370,2.024076,0.02306129
69183120,1.895751,0.02286655
72443620,1.771425,0.02268037
75857780,1.650836,0.02250277
79432840,1.53373,0.02233318
83176390,1.41986,0.02217125
87096370,1.308983,0.02201645
91201090,1.200867,0.02186879
95499260,1.095284,0.02172783
100000000,0.9920101,0.02159318
104713000,0.8908262,0.02146456
109647800,0.7915271,0.02134187
114815500,0.6938951,0.02122469
120226400,0.597736,0.02111276
125892600,0.502803,0.01999574
131825600,0.4089907,0.01993923
138038500,0.3160793,0.0198853
144543900,0.2239431,0.01983388
151356200,0.1326141,0.01978481
158489200,0.04412772,0.01973802
165958800,0.05573963,0.01973855
173780000,0.1317696,0.01978632
181970200,0.2136336,0.01983641
190546000,0.2955249,0.01988886
199526300,0.3773877,0.01994385
208929500,0.4592994,0.02000143
218776200,0.5413874,0.0200618
229086600,0.6237746,0.02012502
239883400,0.7066042,0.02019127
251188400,0.790006,0.02026074
263026800,0.8741274,0.02033342
275422600,0.9590993,0.02040964
288403200,1.045071,0.02048965
301994800,1.132176,0.02057337
316227800,1.220565,0.02066101
331131500,1.310378,0.020753
346736800,1.401757,0.02084962
363078400,1.494859,0.02095061
380189300,1.589822,0.02105665
398107500,1.68681,0.02116782
416869300,1.785966,0.02128421
436516200,1.887457,0.02140626
457088000,1.991435,0.02153455
478630400,2.098075,0.02166878
501187000,2.207532,0.02180981
524807800,2.319988,0.02195795
549540600,2.435611,0.02211292
575440300,2.554592,0.02227571
602559200,2.677105,0.02244657
630957600,2.803353,0.02262614
660693000,2.933523,0.0228143
691831200,3.06783,0.02301231
724435400,3.206471,0.0232203
758577800,3.349678,0.02343868
794327600,3.497664,0.02366828
831763900,3.650674,0.02390966
870962800,3.808937,0.02416367
912010900,3.972723,0.02443099
954991600,4.142273,0.02471221
1000000000,4.317879,0.02500882
1047130000,4.499817,0.02532147
1096478000,4.688374,0.02565057
1148155000,4.883879,0.02599859
1202264000,5.086636,0.02636616
1258926000,5.297007,0.02675449
1318256000,5.515324,0.02716565
1380385000,5.741984,0.02760138
1445439000,5.977359,0.02806314
1513562000,6.221887,0.02855464
1584893000,6.475976,0.02907748
1659588000,6.743997,0.02963521
1737800000,7.077475,0.03024196
1819702000,7.427292,0.03089509
1905460000,7.794355,0.03159853
1995263000,8.179702,0.03236128
2089295000,8.584383,0.03319026
2187762000,9.009602,0.03409537
2290866000,9.456568,0.03508725
2398834000,9.926688,0.03618269
2511884000,10.42138,0.03739563
2630268000,10.94231,0.03874822
2754226000,11.49116,0.04026791
2884032000,12.06988,0.04198371
3019949000,12.68052,0.04393544
3162278000,13.32544,0.04617077
3311315000,14.00714,0.04875042
3467368000,14.72841,0.05174785
3630784000,15.49244,0.05525707
3801893000,16.30268,0.05939584
3981075000,17.16311,0.0643133
4168693000,18.07808,0.07020127
4365162000,19.05268,0.07729582
4570881000,20.0925,0.0859049
4786305000,21.20417,0.09642354
5011870000,22.39505,0.1093635
5248078000,23.67392,0.1253876
5495406000,25.05071,0.1453589
5754402000,26.53733,0.1704157
6025592000,28.14755,0.2020533
6309576000,29.898,0.24228
6606930000,31.80828,0.2937833
6918312000,33.9024,0.3602147
7244354000,36.20924,0.4465502
7585778000,38.76479,0.559715
7943276000,41.61336,0.709388
8317639000,44.8114,0.9093502
8709628000,48.43035,1.179489
9120110000,52.56367,1.549106
9549916000,57.33379,2.062164
10000000000,62.90642,2.786386
